kis-gateway-1  | 2026-01-08 03:32:30,008 - main - INFO - 📊 [Gateway] Snapshot 요청: 004170
kis-gateway-1  | 2026-01-08 03:32:30,461 - main - INFO - 📊 [Gateway] Snapshot 요청: 004800
kis-gateway-1  | 2026-01-08 03:32:30,911 - main - INFO - 📊 [Gateway] Snapshot 요청: 005380
kis-gateway-1  | 2026-01-08 03:32:31,339 - main - INFO - 📊 [Gateway] Snapshot 요청: 005385
kis-gateway-1  | 2026-01-08 03:32:31,775 - main - INFO - 📊 [Gateway] Snapshot 요청: 005387
kis-gateway-1  | 2026-01-08 03:32:32,218 - main - INFO - 📊 [Gateway] Snapshot 요청: 005830
kis-gateway-1  | 2026-01-08 03:32:32,655 - main - INFO - 📊 [Gateway] Snapshot 요청: 005850
kis-gateway-1  | 2026-01-08 03:32:33,102 - main - INFO - 📊 [Gateway] Snapshot 요청: 005930
kis-gateway-1  | 2026-01-08 03:32:33,570 - main - INFO - 📊 [Gateway] Snapshot 요청: 005935
kis-gateway-1  | 2026-01-08 03:32:34,017 - main - INFO - 📊 [Gateway] Snapshot 요청: 006400
kis-gateway-1  | 2026-01-08 03:32:34,451 - main - INFO - 📊 [Gateway] Snapshot 요청: 006800
kis-gateway-1  | 2026-01-08 03:32:34,890 - main - INFO - 📊 [Gateway] Snapshot 요청: 007660
kis-gateway-1  | 2026-01-08 03:32:35,332 - main - INFO - 📊 [Gateway] Snapshot 요청: 009150
kis-gateway-1  | 2026-01-08 03:32:35,762 - main - INFO - 📊 [Gateway] Snapshot 요청: 009540
kis-gateway-1  | 2026-01-08 03:32:36,247 - main - INFO - 📊 [Gateway] Snapshot 요청: 009970
kis-gateway-1  | 2026-01-08 03:32:36,697 - main - INFO - 📊 [Gateway] Snapshot 요청: 010060
kis-gateway-1  | 2026-01-08 03:32:37,151 - main - INFO - 📊 [Gateway] Snapshot 요청: 010130
kis-gateway-1  | 2026-01-08 03:32:37,595 - main - INFO - 📊 [Gateway] Snapshot 요청: 010140
kis-gateway-1  | 2026-01-08 03:32:38,047 - main - INFO - 📊 [Gateway] Snapshot 요청: 011070
kis-gateway-1  | 2026-01-08 03:32:38,498 - main - INFO - 📊 [Gateway] Snapshot 요청: 011210
kis-gateway-1  | 2026-01-08 03:32:38,940 - main - INFO - 📊 [Gateway] Snapshot 요청: 011780
kis-gateway-1  | 2026-01-08 03:32:39,412 - main - INFO - 📊 [Gateway] Snapshot 요청: 012200
kis-gateway-1  | 2026-01-08 03:32:39,869 - main - INFO - 📊 [Gateway] Snapshot 요청: 012330
kis-gateway-1  | 2026-01-08 03:32:40,315 - main - INFO - 📊 [Gateway] Snapshot 요청: 012450
kis-gateway-1  | 2026-01-08 03:32:40,777 - main - INFO - 📊 [Gateway] Snapshot 요청: 0126Z0
kis-gateway-1  | 2026-01-08 03:32:41,237 - main - INFO - 📊 [Gateway] Snapshot 요청: 014680
kis-gateway-1  | 2026-01-08 03:32:39,173 - main - INFO - 📊 [Gateway] Snapshot 요청: 015760
kis-gateway-1  | 2026-01-08 03:32:39,625 - main - INFO - 📊 [Gateway] Snapshot 요청: 016360
kis-gateway-1  | 2026-01-08 03:32:40,083 - main - INFO - 📊 [Gateway] Snapshot 요청: 017670
kis-gateway-1  | 2026-01-08 03:32:40,537 - main - INFO - 📊 [Gateway] Snapshot 요청: 019180
kis-gateway-1  | 2026-01-08 03:32:40,971 - main - INFO - 📊 [Gateway] Snapshot 요청: 025560
kis-gateway-1  | 2026-01-08 03:32:41,424 - main - INFO - 📊 [Gateway] Snapshot 요청: 028260
kis-gateway-1  | 2026-01-08 03:32:41,867 - main - INFO - 📊 [Gateway] Snapshot 요청: 032830
kis-gateway-1  | 2026-01-08 03:32:42,309 - main - INFO - 📊 [Gateway] Snapshot 요청: 034020
kis-gateway-1  | 2026-01-08 03:32:42,689 - main - INFO - 📈 [Gateway] Daily Prices 요청: 0001 (30일)
kis-gateway-1  | 2026-01-08 03:32:42,689 - main - ERROR - ❌ [Gateway] DB 일봉 데이터 조회 실패 (0001): module 'shared.database' has no attribute 'get_db_connection_context'
kis-gateway-1  | Traceback (most recent call last):
kis-gateway-1  |   File "/app/kis-gateway/main.py", line 232, in fetch_daily_prices_from_db
kis-gateway-1  |     with database.get_db_connection_context() as conn:
kis-gateway-1  |          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
kis-gateway-1  | AttributeError: module 'shared.database' has no attribute 'get_db_connection_context'
kis-gateway-1  | 2026-01-08 03:32:42,690 - main - ERROR - ❌ Daily Prices 오류: Failed to fetch daily prices
kis-gateway-1  | Traceback (most recent call last):
kis-gateway-1  |   File "/app/kis-gateway/main.py", line 573, in get_daily_prices
kis-gateway-1  |     raise Exception("Failed to fetch daily prices")
kis-gateway-1  | Exception: Failed to fetch daily prices
kis-gateway-1  | 2026-01-08 03:32:42,691 - main - INFO - 📈 [Gateway] Daily Prices 요청: 055550 (30일)
kis-gateway-1  | 2026-01-08 03:32:42,691 - shared.kis.market_data - WARNING -    (Data) [055550] 과거 일봉 데이터 조회 (최대 30일 제한)
kis-gateway-1  | 2026-01-08 03:32:43,088 - shared.kis.market_data - INFO -    (Data) ✅ [055550] 과거 가격 데이터 30건 수신 완료.
kis-gateway-1  | 2026-01-08 03:32:43,089 - main - INFO - 📈 [Gateway] Daily Prices 요청: 000270 (30일)
kis-gateway-1  | 2026-01-08 03:32:43,090 - shared.kis.market_data - WARNING -    (Data) [000270] 과거 일봉 데이터 조회 (최대 30일 제한)
kis-gateway-1  | 2026-01-08 03:32:43,474 - shared.kis.market_data - INFO -    (Data) ✅ [000270] 과거 가격 데이터 30건 수신 완료.
kis-gateway-1  | 2026-01-08 03:32:43,475 - main - INFO - 📈 [Gateway] Daily Prices 요청: 032830 (30일)
kis-gateway-1  | 2026-01-08 03:32:43,475 - shared.kis.market_data - WARNING -    (Data) [032830] 과거 일봉 데이터 조회 (최대 30일 제한)
kis-gateway-1  | 2026-01-08 03:32:43,860 - shared.kis.market_data - INFO -    (Data) ✅ [032830] 과거 가격 데이터 30건 수신 완료.
kis-gateway-1  | 2026-01-08 03:32:43,862 - main - INFO - 📈 [Gateway] Daily Prices 요청: 015760 (30일)
kis-gateway-1  | 2026-01-08 03:32:43,862 - shared.kis.market_data - WARNING -    (Data) [015760] 과거 일봉 데이터 조회 (최대 30일 제한)
kis-gateway-1  | 2026-01-08 03:32:44,237 - shared.kis.market_data - INFO -    (Data) ✅ [015760] 과거 가격 데이터 30건 수신 완료.
kis-gateway-1  | 2026-01-08 03:32:44,239 - main - INFO - 📊 [Gateway] Snapshot 요청: 034220
kis-gateway-1  | 2026-01-08 03:32:44,624 - main - INFO - 📈 [Gateway] Daily Prices 요청: 005380 (30일)
kis-gateway-1  | 2026-01-08 03:32:44,624 - shared.kis.market_data - WARNING -    (Data) [005380] 과거 일봉 데이터 조회 (최대 30일 제한)
kis-gateway-1  | 2026-01-08 03:32:45,012 - shared.kis.market_data - INFO -    (Data) ✅ [005380] 과거 가격 데이터 30건 수신 완료.
kis-gateway-1  | 2026-01-08 03:32:45,014 - main - INFO - 📊 [Gateway] Snapshot 요청: 015760
kis-gateway-1  | 2026-01-08 03:32:45,459 - main - INFO - 📊 [Gateway] Snapshot 요청: 034730
kis-gateway-1  | 2026-01-08 03:32:45,854 - main - INFO - 📊 [Gateway] Snapshot 요청: 005380
kis-gateway-1  | 2026-01-08 03:32:46,240 - main - INFO - 📊 [Gateway] Snapshot 요청: 035420
kis-gateway-1  | 2026-01-08 03:32:46,686 - main - INFO - 📊 [Gateway] Snapshot 요청: 035720
kis-gateway-1  | 2026-01-08 03:32:47,128 - main - INFO - 📊 [Gateway] Snapshot 요청: 039490
kis-gateway-1  | 2026-01-08 03:32:47,561 - main - INFO - 📊 [Gateway] Snapshot 요청: 042660
kis-gateway-1  | 2026-01-08 03:32:47,979 - main - INFO - 📊 [Gateway] Snapshot 요청: 042700
kis-gateway-1  | 2026-01-08 03:32:48,440 - main - INFO - 📊 [Gateway] Snapshot 요청: 047400
kis-gateway-1  | 2026-01-08 03:32:48,882 - main - INFO - 📊 [Gateway] Snapshot 요청: 047810
kis-gateway-1  | 2026-01-08 03:32:49,335 - main - INFO - 📊 [Gateway] Snapshot 요청: 055550
